ID,ウマ娘,グッズ名,入手タイプ,トレーディング,金額,最大数量,備考
22,ナリタトップロード,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
23,エスポワールシチー,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
24,シンボリクリスエス,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
25,ジャングルポケット,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
26,ドゥラメンテ,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
27,ブエナビスタ,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
28,アドマイヤグルーヴ,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
29,ドリームジャーニー,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
30,カルストンライトオ,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
31,フェノーメノ,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
32,アーモンドアイ,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
33,ラッキーライラック,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
34,グランアレグリア,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
35,ラヴズオンリーユー,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
36,カレンブーケドール,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
37,レッドディザイア,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
38,キセキ,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
39,フォーエバーヤング,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
40,マルシュロレーヌ,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
41,エピファネイア,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
42,ロゴタイプ,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
43,ヴィクトワールピサ,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
44,ローズキングダム,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
45,ルーラーシップ,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
46,テイエムオペラオー,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
47,ジェンティルドンナ,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
48,サクラチトセオー,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
49,ステイゴールド,公式ウマブレードストラップ,販売,FALSE,1500,2,購入上限: 2
50,トウカイテイオー,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
51,オグリキャップ,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
52,ゴールドシップ,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
53,アグネスデジタル,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
54,タマモクロス,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
55,ファインモーション,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
56,エアシャカール,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
57,エイシンフラッシュ,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
58,トーセンジョーダン,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
59,ナカヤマフェスタ,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
60,メイショウドトウ,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
61,キタサンブラック,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
62,サクラチヨノオー,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
63,デアリングタクト,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
64,ナリタトップロード,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
65,エスポワールシチー,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
66,シンボリクリスエス,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
67,ジャングルポケット,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
68,ドゥラメンテ,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
69,ブエナビスタ,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
70,アドマイヤグルーヴ,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
71,ドリームジャーニー,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
72,カルストンライトオ,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
73,フェノーメノ,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
74,アーモンドアイ,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
75,ラッキーライラック,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
76,グランアレグリア,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
77,ラヴズオンリーユー,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
78,カレンブーケドール,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
79,レッドディザイア,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
80,キセキ,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
81,フォーエバーヤング,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
82,マルシュロレーヌ,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
83,エピファネイア,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
84,ロゴタイプ,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
85,ヴィクトワールピサ,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
86,ローズキングダム,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
87,ルーラーシップ,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
88,テイエムオペラオー,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
89,ジェンティルドンナ,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
90,サクラチトセオー,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
91,ステイゴールド,公式応援タオル,販売,FALSE,2700,2,購入上限: 2
92,トウカイテイオー,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
93,オグリキャップ,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
94,ゴールドシップ,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
95,アグネスデジタル,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
96,タマモクロス,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
97,ファインモーション,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
98,エアシャカール,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
99,エイシンフラッシュ,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
100,トーセンジョーダン,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
101,ナカヤマフェスタ,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
102,メイショウドトウ,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
103,キタサンブラック,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
104,サクラチヨノオー,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
105,デアリングタクト,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
106,ナリタトップロード,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
107,エスポワールシチー,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
108,シンボリクリスエス,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
109,ジャングルポケット,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
110,ドゥラメンテ,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
111,ブエナビスタ,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
112,アドマイヤグルーヴ,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
113,ドリームジャーニー,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
114,カルストンライトオ,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
115,フェノーメノ,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
116,アーモンドアイ,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
117,ラッキーライラック,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
118,グランアレグリア,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
119,ラヴズオンリーユー,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
120,カレンブーケドール,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
121,レッドディザイア,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
122,キセキ,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
123,フォーエバーヤング,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
124,マルシュロレーヌ,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
125,エピファネイア,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
126,ロゴタイプ,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
127,ヴィクトワールピサ,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
128,ローズキングダム,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
129,ルーラーシップ,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
130,テイエムオペラオー,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
131,ジェンティルドンナ,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
132,サクラチトセオー,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
133,ステイゴールド,公式アクリルスタンド(制服Ver.),販売,FALSE,1650,2,購入上限: 2
134,アーモンドアイ,公式はっぴ(BURNING AS ONE Ver.),販売,FALSE,8000,2,購入上限: 2
135,フォーエバーヤング,公式はっぴ(BURNING AS ONE Ver.),販売,FALSE,8000,2,購入上限: 2
136,アーモンドアイ,公式カラビナ付きぬいぐるみ(BURNING AS ONE Ver.),販売,FALSE,3200,2,購入上限: 2
137,フォーエバーヤング,公式カラビナ付きぬいぐるみ(BURNING AS ONE Ver.),販売,FALSE,3200,2,購入上限: 2
138,ライスシャワー,公式カラビナ付きぬいぐるみ(Snowy Integrity Ver.),販売,FALSE,3200,2,購入上限: 2
139,サクラローレル,公式カラビナ付きぬいぐるみ(Snowy Integrity Ver.),販売,FALSE,3200,2,購入上限: 2
140,ナリタトップロード,公式カラビナ付きぬいぐるみ(Snowy Integrity Ver.),販売,FALSE,3200,2,購入上限: 2
141,アーモンドアイ,公式アクリルスタンド(BURNING AS ONE Ver.),販売,FALSE,1650,2,購入上限: 2
142,フォーエバーヤング,公式アクリルスタンド(BURNING AS ONE Ver.),販売,FALSE,1650,2,購入上限: 2
143,アーモンドアイ,公式ラメアクリルキーホルダー(BURNING AS ONE Ver.),販売,FALSE,1500,2,購入上限: 2
144,フォーエバーヤング,公式ラメアクリルキーホルダー(BURNING AS ONE Ver.),販売,FALSE,1500,2,購入上限: 2
145,アーモンドアイ,公式缶バッジ(BURNING AS ONE Ver.),販売,FALSE,600,2,購入上限: 2
146,フォーエバーヤング,公式缶バッジ(BURNING AS ONE Ver.),販売,FALSE,600,2,購入上限: 2
147,"アーモンドアイ,フォーエバーヤング",公式クリアファイル,販売,FALSE,700,2,購入上限: 2
148,シンボリルドルフ,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
149,エアグルーヴ,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
150,セイウンスカイ,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
151,ファインモーション,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
152,マヤノトップガン,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
153,アイネスフウジン,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
154,エアシャカール,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
155,シーキングザパール,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
156,ナカヤマフェスタ,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
157,ニシノフラワー,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
158,ハルウララ,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
159,マチカネフクキタル,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
160,メジロアルダン,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
161,ツルマルツヨシ,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
162,デアリングタクト,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
163,フリオーソ,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
164,トランセンド,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
165,エスポワールシチー,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
166,メジロラモーヌ,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
167,アストンマーチャン,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
168,フサイチパンドラ,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
169,ウインバリアシオン,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
170,ドリームジャーニー,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
171,カルストンライトオ,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
172,デュランダル,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
173,アーモンドアイ,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
174,グランアレグリア,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
175,ラヴズオンリーユー,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
176,クロノジェネシス,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
177,ステイゴールド,公式トレーディング勝負靴アクリルキーホルダー Vol.3,販売,TRUE,800,20,購入上限: 20
178,アーモンドアイ,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
179,フォーエバーヤング,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
180,トウカイテイオー,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
181,オグリキャップ,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
182,ゴールドシップ,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
183,テイエムオペラオー,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
184,アグネスデジタル,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
185,タマモクロス,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
186,ファインモーション,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
187,エアシャカール,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
188,エイシンフラッシュ,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
189,トーセンジョーダン,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
190,ナカヤマフェスタ,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
191,メイショウドトウ,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
192,キタサンブラック,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
193,サクラチヨノオー,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
194,デアリングタクト,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
195,ナリタトップロード,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
196,エスポワールシチー,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
197,シンボリクリスエス,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
198,ジャングルポケット,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
199,ドゥラメンテ,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
200,ブエナビスタ,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
201,ジェンティルドンナ,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
202,アドマイヤグルーヴ,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
203,ドリームジャーニー,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
204,カルストンライトオ,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
205,サクラチトセオー,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
206,フェノーメノ,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
207,ラッキーライラック,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
208,グランアレグリア,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
209,ラヴズオンリーユー,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
210,カレンブーケドール,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
211,ステイゴールド,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
212,レッドディザイア,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
213,キセキ,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
214,マルシュロレーヌ,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
215,エピファネイア,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
216,ロゴタイプ,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
217,ヴィクトワールピサ,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
218,ローズキングダム,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
219,ルーラーシップ,公式ミニ応援タオルキーホルダーガチャ(7th EVENT in TOKYO Ver.),販売,TRUE,500,10,購入上限: 10
220,トウカイテイオー,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Aグループ),特典,TRUE,850,,メニューで変動: 850-1500円
221,アグネスデジタル,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Aグループ),特典,TRUE,850,,メニューで変動: 850-1500円
222,タマモクロス,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Aグループ),特典,TRUE,850,,メニューで変動: 850-1500円
223,トーセンジョーダン,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Aグループ),特典,TRUE,850,,メニューで変動: 850-1500円
224,シンボリクリスエス,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Aグループ),特典,TRUE,850,,メニューで変動: 850-1500円
225,ジャングルポケット,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Aグループ),特典,TRUE,850,,メニューで変動: 850-1500円
226,ブエナビスタ,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Aグループ),特典,TRUE,850,,メニューで変動: 850-1500円
227,ジェンティルドンナ,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Aグループ),特典,TRUE,850,,メニューで変動: 850-1500円
228,アドマイヤグルーヴ,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Aグループ),特典,TRUE,850,,メニューで変動: 850-1500円
229,ラヴズオンリーユー,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Aグループ),特典,TRUE,850,,メニューで変動: 850-1500円
230,カレンブーケドール,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Aグループ),特典,TRUE,850,,メニューで変動: 850-1500円
231,レッドディザイア,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Aグループ),特典,TRUE,850,,メニューで変動: 850-1500円
232,フォーエバーヤング,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Aグループ),特典,TRUE,850,,メニューで変動: 850-1500円
233,ルーラーシップ,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Aグループ),特典,TRUE,850,,メニューで変動: 850-1500円
234,オグリキャップ,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Bグループ),特典,TRUE,850,,メニューで変動: 850-1500円
235,テイエムオペラオー,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Bグループ),特典,TRUE,850,,メニューで変動: 850-1500円
236,ナカヤマフェスタ,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Bグループ),特典,TRUE,850,,メニューで変動: 850-1500円
237,メイショウドトウ,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Bグループ),特典,TRUE,850,,メニューで変動: 850-1500円
238,キタサンブラック,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Bグループ),特典,TRUE,850,,メニューで変動: 850-1500円
239,デアリングタクト,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Bグループ),特典,TRUE,850,,メニューで変動: 850-1500円
240,エスポワールシチー,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Bグループ),特典,TRUE,850,,メニューで変動: 850-1500円
241,カルストンライトオ,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Bグループ),特典,TRUE,850,,メニューで変動: 850-1500円
242,フェノーメノ,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Bグループ),特典,TRUE,850,,メニューで変動: 850-1500円
243,グランアレグリア,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Bグループ),特典,TRUE,850,,メニューで変動: 850-1500円
244,キセキ,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Bグループ),特典,TRUE,850,,メニューで変動: 850-1500円
245,エピファネイア,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Bグループ),特典,TRUE,850,,メニューで変動: 850-1500円
246,ロゴタイプ,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Bグループ),特典,TRUE,850,,メニューで変動: 850-1500円
247,ヴィクトワールピサ,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Bグループ),特典,TRUE,850,,メニューで変動: 850-1500円
248,ゴールドシップ,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Cグループ),特典,TRUE,850,,メニューで変動: 850-1500円
249,ファインモーション,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Cグループ),特典,TRUE,850,,メニューで変動: 850-1500円
250,エアシャカール,アニメイトカフェ出張所メニュー注文特典ランダムコースター(Cグループ),特典,TRUE,850,,メニューで変動: 850-1500円
