name,main_color,sub_color
メジロラモーヌ,#4bb6af,#3c5161
アストンマーチャン,#CF4436,#E1DCCB
サトノクラウン,#21713A,#F3F19D
シュヴァルグラン,#64C3C1,#1E3872
ヴィルシーナ,#4747cc,#84c6e7
ヴィブロス,#404fb1,#84d4e3
ダンツフレーム,#e97d97,#119d76
ケイエスミラクル,#85aae1,#ebd64a
ジャングルポケット,#6ac43c,#e6d734
ビリーヴ,#4baece,#c63663
ノーリーズン,#cb243e,#9ad2f5
スティルインラブ,#d83a43,#6fbbf1
コパノリッキー,#eeb42a,#d93c49
ホッコータルマエ,#d94149,#cddee0
ワンダーアキュート,#d85081,#d8d2d9
サムソンビッグ,#3dc3c2,#f0688e
サウンズオブアース,#ca4640,#305991
ロイスアンドロイス,#e69a22,#cc382e
カツラギエース,#7db0e0,#f77696
ネオユニヴァース,#5abae6,#f8db55
ヒシミラクル,#4a71b2,#bdd1e9
タップダンスシチー,#d44853,#4840ad
ドゥラメンテ,#bf3344,#4e4e4e
ラインクラフト,#f15b75,#2c9679
シーザリオ,#948eab,#0a3874
エアメサイア,#2c2f9d,#fffd8c
デアリングハート,#d0ba00,#38312b
フサイチパンドラ,#fd637f,#fbd872
ブエナビスタ,#c0af3b,#583d3e
オルフェーヴル,#be4134,#ecd898
ジェンティルドンナ,#cf2f2b,#533c3d
ウインバリアシオン,#c1213c,#bad7f4
アドマイヤグルーヴ,#344d99,#5cbac8
ドリームジャーニー,#332d1f,#e6e08a
カルストンライトオ,#131b4c,#f7eb49
デュランダル,#efa605,#d22630
バブルガムフェロー,#e5bd00,#0047bb
サクラチトセオー,#FA83CB,#D8C8D1
フェノーメノ,#574a74,#f4db4e
ブラストワンピース,#009CBD,#0CB85F
アーモンドアイ,#69a9e9,#cc3300
ラッキーライラック,#454152,#907594
グランアレグリア,#53565a,#ef4d60
ラヴズオンリーユー,#424840,#268745
クロノジェネシス,#464647,#50a19f
カレンブーケドール,#8e8180,#473d3c
ステイゴールド,#bfb33e,#49699c
レッドディザイア,#cb3a43,#802f2d
キセキ,#2c9c46,#c8dbe9
フォーエバーヤング,#822b4a,#d8ced2
マルシュロレーヌ,#8b1538,#e9a2b2
エピファネイア,#17af87,#d0dee8
ロゴタイプ,#7e2d40,#bd9b60
ヴィクトワールピサ,#4146b8,#f1eb9d
ローズキングダム,#cb363d,#52606b
ルーラーシップ,#beab08,#3a4c5c
